,y,m,d,lgrpf,lgm3,lgm1
0.6173782,1989,10,16,-0.006282093,0,0
-0.2067932,1989,10,17,0.003361754,0,0
0.2185803,1989,10,18,-0.003994991,0,0
0.0117839,1989,10,19,-0.002967373,0,0
-0.3489753,1989,10,20,-0.009460254,0,0
-0.0178196,1989,10,23,-0.004808544,0,0
0.1305079,1989,10,24,-0.00088003,0,0
0.2421778,1989,10,25,-0.002207908,0,0
-5.89E-03,1989,10,26,-0.00534523,0,0
0.468752,1989,10,27,0.008652897,0,0
0.50985,1989,10,30,-0.001099759,0,0
-0.1962786,1989,10,31,0.004818243,0,0
-1.7834856,1989,9,6,-0.014618124,0,0
-0.120738,1989,9,7,0.002918506,0,0
0.0483355,1989,9,8,0.007541565,0,0
-0.1512274,1989,9,11,0.00021984,0,0
0.0302876,1989,9,12,-0.001320714,0,0
-0.0121125,1989,9,13,0.003513018,0,0
0.3619142,1989,9,14,-0.003072334,0,0
-0.6963393,1989,9,15,0.005253626,0,0
0.4795529,1989,9,18,-0.001744157,0,0
0.1145499,1989,9,19,-0.00704753,0,0
0.2521485,1989,9,20,0.001772633,0,0
5.99E-03,1989,9,21,-0.00044248,0,0
3.6819855,1989,11,20,0.008113791,0,0
0.4485762,1989,11,21,-0.000652257,0,0
1.1705023,1989,11,22,-0.003056887,0,0
