,y,date,m,d,lgrpf,lgrau,lgm3,lgm1
374,1988,1988/7/28,7,28,-0.00026883,-0.000100345,0,0
375,1988,1988/7/29,7,29,0.004281434,0.004045553,0,0
376,1988,1988/8/1,8,1,-0.006167917,-0.002192908,0,0
377,1988,1988/8/2,8,2,-0.012883141,-0.001852645,0,0
378,1988,1988/8/3,8,3,-0.009848369,0.001352709,0,0
379,1988,1988/8/4,8,4,-0.006595553,-0.001001602,0,0
380,1988,1988/8/5,8,5,0.006595553,-0.000250762,0,0
381,1988,1988/8/8,8,8,0.017022393,-0.000853675,0,0
382,1988,1988/8/9,8,9,-0.005230868,-0.00627809,0,0
383,1988,1988/8/10,8,10,0.000830127,0.001425587,0,0
384,1988,1988/8/11,8,11,0.001380028,0.000761787,0,0
385,1988,1988/8/12,8,12,-0.006664496,0.005345541,0,0
386,1988,1988/8/15,8,15,0.002511186,-0.003017692,0,0
387,1988,1988/8/16,8,16,-0.003351485,0.002415829,0,0
388,1988,1988/8/17,8,17,-0.000561104,-0.003679416,0,0
389,1988,1988/8/18,8,18,0.002798299,0.001566301,0,0
390,1988,1988/8/19,8,19,0.00444011,0.002062922,0,0
391,1988,1988/8/22,8,22,0.000827491,-0.001609245,0,0
392,1988,1988/8/23,8,23,-0.001656561,0.001609245,0,0
393,1988,1988/8/24,8,24,-0.000553594,0.000401381,0,0
394,1988,1988/8/25,8,25,-0.010370868,0.001201923,0,0
395,1988,1988/8/26,8,26,0.000850169,-0.0010515,0,0
396,1988,1988/8/29,8,29,-0.003410707,0,0,0
397,1988,1988/8/30,8,30,0.001424385,-0.005448301,0,0
398,1988,1988/8/31,8,31,-0.002567265,0,0,0
399,1988,1988/9/1,9,1,-0.00287043,0.002682244,0,0
400,1988,1988/9/2,9,2,-0.008433168,-0.00166813,0,0
401,1988,1988/9/6,9,6,-0.016458185,-0.000303986,0,0
402,1988,1988/9/7,9,7,-0.002446736,-0.001218076,0,0
403,1988,1988/9/8,9,8,0.009705309,0.0010153,0,0
404,1988,1988/9/9,9,9,-0.009092331,0.001164668,0,0
405,1988,1988/9/12,9,12,0.009392155,-0.010233614,0,0
406,1988,1988/9/13,9,13,0.00209299,0.001085931,0,0
407,1988,1988/9/14,9,14,0.024359346,0.001083222,0,0
408,1988,1988/9/15,9,15,-0.014334452,-0.002739059,0,0
409,1988,1988/9/16,9,16,-0.009726717,-0.003853478,0,0
410,1988,1988/9/19,9,19,0.004743195,-0.006481734,0,0
411,1988,1988/9/20,9,20,0.009045089,0.001060549,0,0
412,1988,1988/9/21,9,21,-0.014086461,-0.01001871,0,0
413,1988,1988/9/22,9,22,0.00267625,-0.003154959,0,0
414,1988,1988/9/23,9,23,-0.014161394,0.002829645,0,0
415,1988,1988/9/26,9,26,0.000612114,-0.005513019,0,0
416,1988,1988/9/27,9,27,-0.001838935,0.001973073,0,0
417,1988,1988/9/28,9,28,-0.000922396,-0.001863222,0,0
418,1988,1988/9/29,9,29,-0.005887778,0.003391661,0,0
419,1988,1988/9/30,9,30,-0.017507828,-0.001966125,0,0
420,1988,1988/10/3,10,3,-0.01018823,-0.000767015,0,0
