BIGau,Ndate,BIGpf,LGdija,usdin,loggas,logauf
21.95439,1996/1/30,27.2908,61.9619,10.91691457,299.7561215,-18.23192255
-10.6956,1996/1/31,44.29104,11.35658,-9.923333048,259.2065207,16.09095883
37.85074,1996/2/1,-7.35054,7.84921,-8.452697376,-267.8872048,55.324886
56.95055,1996/2/2,22.01441,-25.03665,-14.45738576,-55.97106637,41.03600439
3.14213,1996/2/5,-63.90413,27.06902,-35.60016265,-561.0987162,-17.83983708
-26.25413,1996/2/6,36.98244,41.57864,8.550591901,527.5213561,-10.52835623
19.9676,1996/2/7,12.25783,25.78397,10.53930617,113.8107512,-32.80105479
-66.56389,1996/2/8,4.89346,37.26629,6.010997249,-71.44022176,2.12368944
1.06458,1996/2/9,4.88795,1.70095,6.002689026,136.6199219,-37.31533173
-37.41637,1996/2/12,46.1632,45.62918,-5.50214793,-164.8209614,-47.37021977
-13.98003,1996/2/13,221.43452,0.837,-0.500541097,349.7968867,19.44121793
-1.07725,1996/2/14,11.46804,-16.84232,-16.55030342,-132.5181321,12.91263038
16.1308,1996/2/15,18.28611,-21.99,0.502452111,-10.10379243,-8.604153025
2.68265,1996/2/16,27.28561,-37.75408,-18.62955246,-233.7807927,20.40709865
-28.52077,1996/2/20,408.56595,-35.49065,11.15656686,-218.9263896,-66.94875958
-58.70403,1996/2/21,-285.65476,45.46194,-5.067614133,229.588289,32.52345319
31.08154,1996/2/22,30.73887,72.21731,-2.02870251,301.6432124,-24.91283321
-15.24033,1996/2/23,-176.37615,17.02565,-10.66626362,199.0224231,-15.2346003
8.17111,1996/2/26,74.54913,-50.73219,3.558332701,-698.5602607,9.799804427
5.43888,1996/2/27,68.88417,-12.41812,-3.558332701,-22.34796433,-10.89003785
-21.25026,1996/2/28,-91.33999,-33.78389,28.89056049,-37.50407434,27.1740645
33.73389,1996/2/29,55.92332,-16.27051,17.64504937,-133.8750374,-9.763087257
-25.00326,1996/3/1,-22.28299,40.14291,12.05816088,-158.230427,-10.87367824
-50.99407,1996/3/4,-53.95032,49.59649,-7.532426272,165.9926182,-54.78055501
-1.10325,1996/3/5,76.23331,32.6575,-1.005311305,-129.8847858,-6.620343994
0,1996/3/6,142.1176,-9.74758,5.024231031,27.87777911,-1.104372496
3.30891,1996/3/7,-82.51843,9.18566,-4.018919726,-120.7569404,23.13305183
31.85683,1996/3/8,-44.06882,-133.86166,25.55712513,-67.87596321,19.73072721
-11.5074,1996/3/11,65.93666,86.8897,-15.01538255,168.7384812,-15.33836798
5.48352,1996/3/12,118.34369,2.24832,-15.57062784,-19.98597553,8.771413876
2.73916,1996/3/13,25.39741,-11.81473,-3.523687673,141.8874047,3.284718285
-10.96704,1996/3/14,120.70293,13.50214,6.038858195,13.55054085,-12.05613216
2.19562,1996/3/15,167.09566,-0.848,-7.046151443,163.1166637,5.484209365
-18.69828,1996/3/18,245.71154,76.02661,4.027771973,319.3197392,-5.484209365
12.10808,1996/3/19,195.24191,-10.7798,-6.547027696,20.70537805,-3.293852884
-2.19896,1996/3/20,-234.61271,-10.80662,0,86.91292051,6.585209479
9.88656,1996/3/21,-396.07203,-21.9721,8.559513747,271.4202025,25.15120484
20.79801,1996/3/22,181.82424,7.52645,5.529532897,190.707852,3.269879551
2.18348,1996/3/25,88.13494,5.55934,0,-129.3280124,2.178552751
21.77465,1996/3/26,-40.90716,20.52781,4.017061051,-884.3702665,17.38919168
4.88429,1996/3/27,-79.00072,-33.6136,11.52839627,135.7870168,0
-17.93597,1996/3/28,-76.40563,3.06305,-23.59074353,5.566689272,-38.129699
-25.67373,1996/3/29,12.15377,-33.84404,7.54289222,-11.14052296,-12.05309037
-23.62243,1996/4/1,156.93116,39.13949,12.04144437,-90.16818319,-7.687601889
1.65225,1996/4/2,85.00697,26.08217,-2.505882488,9.48034609,-12.10807856
3.30262,1996/4/3,-83.0564,13.80702,-6.522069342,20.78420021,3.305552476
-9.9154,1996/4/4,92.61184,-5.23936,-3.515944647,58.04410151,8.802526082
0,1996/4/8,53.12537,-68.17299,-1.003221261,68.2779979,33.9422601
28.03506,1996/4/9,5.65365,-26.44371,33.98018114,-5.496239695,-39.44174775
-19.22025,1996/4/10,211.35486,-58.52596,2.985525887,-53.49203313,4.400147103
-2.75271,1996/4/11,198.11821,0.863,6.958255948,-20.46368875,8.786942439
4.95362,1996/4/12,-183.79096,35.87987,3.971146528,150.2772184,-13.18708954
-17.0863,1996/4/15,135.53552,47.1012,18.31946606,-124.2492178,-17.64530541
3.31228,1996/4/16,-103.47097,20.99254,-7.912450048,-50.33733542,-22.1579298
-26.56921,1996/4/17,35.3518,-54.50356,-3.96163751,42.91666754,-4.44518444
-6.66778,1996/4/18,-152.27392,1.41613,-24.34420332,-14.87948289,-3.336876706
4.44632,1996/4/19,23.63761,-12.73833,21.86634349,55.53713558,3.336876706
1.11087,1996/4/22,21.70573,22.89592,-1.487394781,-3.680461931,9.995274421
8.32248,1996/4/23,-254.50233,18.57372,3.469795737,-147.9309389,-2.219184933
-10.5445,1996/4/24,-57.77839,-27.04193,0.495458881,-127.5723046,-7.776089488
27.69391,1996/4/25,-38.95044,10.16144,27.65587124,85.46321046,29.91707458
-15.48683,1996/4/26,23.41216,0.842,-19.2417069,-99.21604427,-33.25395128
-11.65147,1996/4/29,21.35083,4.22546,-2.967843955,31.37129537,5.560037655
4.99732,1996/4/30,-244.93413,-3.37536,10.37859284,1.95320211,12.20708431
11.0846,1996/5/1,-80.63781,4.78553,15.27559178,9.752855702,15.48682932
1.10691,1996/5/2,10.42224,-60.35947,-18.23837404,-76.6595364,8.824884559
17.67223,1996/5/3,66.11652,-16.01656,-2.964804861,-118.6066513,-17.66773784
